model,const,timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,adj_r2,f_pvalue,mae,mse,r2,rmse,otherDescription,trasnformedVariables,uesdComponents,usedVariables
10,-1274.146999716219,0,0,0,0,0,0,23.68841547229809,0,26.658939747800385,0,0,4.231398286857251,0,0.0,0,0,739.578463550266,132.23556870686411,0,0,0.01201591579593974,0,0,0,0,0,0.6399598201886347,0,0,0.05807083241356108,0,0,0,0,0,0,1.1951545935144177e-13,0,0,0,0,359.21405029880253,0,1992.0520229216725,0,0,0,0,0,0,0,0,0,0,758.0229133421553,247.37404012552832,0,0,0.0,0.10271462568740299,1.2369513000269194e-25,1692.8815409493009,8809131.832703112,0.10861781893945946,2962.3549885721445,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;weekday_is_sunday;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
11,-1219.4347851794603,0,0,0,0,0,0,24.165602953118686,0,26.722880496865084,0,0,6.1905222254883085,0,0.0,0,0,706.2034046953883,0.0,0,0,0.012521306593534455,0,0,0,0,0,0.6294902608473569,0,0,0.05807736904899075,0,0,0,0,0,0,6.811373802968311e-14,0,0,0,107.27651716082774,334.64028977845396,0,1947.9018517239167,0,0,0,0,0,0,0,0,0,0,788.0663921765015,253.04655079202746,0,0,0.0,0.10206863731597363,9.855209998942701e-26,1693.6971115253946,8851169.456265047,0.10797608049152635,2968.7756592682663,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;weekday_is_sunday;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
12,-1250.0352473345547,0,0,0,0,0,0,23.11751269728889,0,25.96031111378643,0,0,1.492365100283054,0,0.0,0,0,755.608216375316,142.0233951216696,0,0,0.028645438024721602,0,0,0,0,0,0.6348302740480737,0,0,0.05813174370273906,0,0,0,0,0,0,0.0,2.655069452758147e-14,0,0,0,367.9827135835116,0,1971.2993051292808,0,0,0,0,0,0,0,0,0,0,789.5427091422492,0,0,0,610.9367463146277,0.10281814300546811,1.5969627650315517e-27,1693.4604987699108,8841684.949293729,0.1087206552225374,2967.591248887499,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;is_weekend;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
13,-1217.0394167292704,0,0,0,0,0,0,24.183266896190894,0,25.857880077656173,0,0,3.707474506075573,0,0.0,0,0,717.757388104244,0.0,0,0,0.024296852770231903,0,0,0,0,0,0.627919903649625,0,0,0.05812608541414423,0,0,0,0,0,0,0.0,-1.4527916048014216e-13,0,0,115.6334115054704,350.4965030212761,0,1949.4896922438736,0,0,0,0,0,0,0,0,0,0,830.5858849176623,0,0,0,601.9997046710602,0.10313049036667067,8.147551009011514e-27,1696.6280828570298,8886724.527688831,0.1090309476668901,2975.213361672099,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;is_weekend;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
14,-1271.4225144902205,0,0,0,0,0,0,23.742769923501058,0,26.487986408584653,0,0,3.4728618883777216,0,0.0,0,0,744.3432608234292,131.7842526771482,0,0,0.01700945279027589,0,0,0,0,0,0.6370729439839354,0,0,0.05737153273788464,0,0,0,0,0,0,0.0,6.368713392669553e-14,0,0,0,379.0825604872371,0,2011.6864774514895,0,0,0,0,0,0,0,0,0,0,759.8584586688202,243.711254883347,0,0,0.0,0.10249966439158537,2.702852439285008e-26,1696.9922464034407,8864367.477637237,0.10840427186269325,2971.2200964037606,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;is_weekend;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
15,-1220.923708897975,0,0,0,0,0,0,23.7912856581088,0,26.63397570111228,0,0,4.799090664767811,0,0.0,0,0,706.1492700759175,0.0,0,0,0.023142936204441918,0,0,0,0,0,0.6335295760653079,0,0,0.057793943830365166,0,0,0,0,0,0,0.0,-1.0247688886587058e-14,0,0,112.84755954152811,334.91643489968703,0,1959.059155182232,0,0,0,0,0,0,0,0,0,0,810.3187500283246,238.92446994607988,0,0,0.0,0.1019300622179898,1.4351914123190411e-27,1694.2249627536373,8866835.64160034,0.10783841707181867,2971.631967843804,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_tech;is_weekend;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
16,-765.8924173072537,0,0,0,0,0,0,21.71795572208962,0,26.793882265300304,0,0,14.829008915490796,0,0.0,-407.9475635408221,0,0,-346.20300394128157,0,0,0.07032534510225245,0,0,0,0,0,0.6076625333977942,0,0,0.059107340120258964,0,0,0,0,0,0,-1.4253176134651853e-13,0,0,0,0,-257.1722642921522,0,2043.1098661038848,0,0,0,0,0,0,0,0,0,0,872.070763413434,0,0,0,545.5221757550981,0.09803481041188555,1.0235649703128953e-25,1701.7388291212615,8877308.042587716,0.10396879192233376,2973.6727878672395,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_bus;weekday_is_sunday;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
17,-703.6142413945095,0,0,0,0,0,0,21.299756689135844,0,27.209214612868983,0,0,14.894210488852302,0,0.0,-399.1977908832355,0,0,0.0,0,0,0.06125705570274185,0,0,0,0,0,0.6034787993883335,0,0,0.05870158771641377,0,0,0,0,0,0,-3.000521735773433e-13,0,0,0,-513.978608423946,-278.11164542785525,0,2021.6973284253368,0,0,0,0,0,0,0,0,0,0,880.5840903308649,0,0,0,554.4413319450276,0.09834108476201923,1.8766381891358446e-24,1702.8329490807514,8895754.914886177,0.1042730513096376,2976.245691860781,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_bus;weekday_is_sunday;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
18,-773.7323174833446,0,0,0,0,0,0,22.598299654172596,0,27.280574688749013,0,0,16.22305440825607,0,0.0,-397.7859472515705,0,0,-346.0330082364735,0,0,0.05663119932178774,0,0,0,0,0,0.6064051988825145,0,0,0.05858311408594535,0,0,0,0,0,0,9.681052216292816e-14,0,0,0,0,-258.1581522566977,0,2059.7070664627204,0,0,0,0,0,0,0,0,0,0,831.6305091143969,214.28664906995334,0,0,0.0,0.09712260210121028,9.283536124266276e-24,1701.9911523348435,8896009.155677555,0.10306258498212341,2976.635154969688,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_bus;weekday_is_sunday;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
19,-692.8593390068412,0,0,0,0,0,0,21.394858649497472,0,27.071861619428486,0,0,15.971711712804597,0,0.0,-393.0721692335434,0,0,0.0,0,0,0.05262448500931135,0,0,0,0,0,0.6031132228690881,0,0,0.058050945144914164,0,0,0,0,0,0,-8.161094182689357e-14,0,0,0,-524.6027419383195,-283.4006931347802,0,2019.963285936149,0,0,0,0,0,0,0,0,0,0,825.1076902618895,216.90063918547386,0,0,0.0,0.09668463175639136,3.5325150506111116e-23,1706.1889667929972,8944426.004198877,0.10262749602115209,2984.7596388946304,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_bus;weekday_is_sunday;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
20,-770.7638798127964,0,0,0,0,0,0,21.700095028507842,0,27.59640755944053,0,0,14.697502985253495,0,0.0,-405.0664644299241,0,0,-345.14796304859993,0,0,0.06600642716414205,0,0,0,0,0,0.607934078912201,0,0,0.059548988049075366,0,0,0,0,0,0,0.0,-1.7675375519092114e-13,0,0,0,-272.87366533272166,0,2050.8792715445775,0,0,0,0,0,0,0,0,0,0,881.1783877315603,0,0,0,542.4721976841449,0.09883154130414981,1.536644932636177e-24,1700.820355236434,8912391.379090209,0.10476028116399061,2979.6468269380603,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_bus;is_weekend;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
21,-689.5304853931992,0,0,0,0,0,0,21.215009800065104,0,27.454867128704073,0,0,14.234641280551159,0,0.0,-396.16800141651936,0,0,0.0,0,0,0.06252761436386728,0,0,0,0,0,0.6039528956213013,0,0,0.058227109273850594,0,0,0,0,0,0,0.0,-8.897918203972307e-14,0,0,-516.4118153688985,-287.52968953776275,0,2009.6360232586392,0,0,0,0,0,0,0,0,0,0,904.4125593796746,0,0,0,539.8461919387944,0.09790226858850946,4.713964797291272e-24,1705.4932027637824,8944187.129573708,0.10383712208463777,2985.104677825433,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_bus;is_weekend;kw_avg_avg;LDA_03;abs_title_sentiment_polarity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
22,-779.9616828215757,0,0,0,0,0,0,22.227822164092025,0,26.971982834053854,0,0,16.75939522746514,0,0.0,-390.37881578872384,0,0,-342.43024484334586,0,0,0.043146268006938125,0,0,0,0,0,0.6068457709191413,0,0,0.05888925016095675,0,0,0,0,0,0,0.0,-1.1124503218619968e-14,0,0,0,-253.6234840776703,0,2061.4258453791217,0,0,0,0,0,0,0,0,0,0,821.970897235017,216.52872407014138,0,0,0.0,0.09700467417413963,8.965978290496701e-24,1699.3132551147733,8891640.868136767,0.10294543289667832,2975.911496867,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_bus;is_weekend;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;data_channel_is_world;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
23,-720.8152446048329,0,0,0,0,0,0,21.58869279753318,0,27.810267694493362,0,0,16.636559245191087,0,0.0,-388.8392860218706,0,0,0.0,0,0,0.04849917359824817,0,0,0,0,0,0.6044903643359568,0,0,0.058451989937979565,0,0,0,0,0,0,0.0,-1.4785163966350052e-13,0,0,-516.841413840748,-286.16268282226713,0,2051.555861456967,0,0,0,0,0,0,0,0,0,0,827.6843624626557,219.6268345188276,0,0,0.0,0.09753134531286793,1.7228404682920175e-24,1700.8378045157265,8876132.560616545,0.10346863909370423,2973.0352578069683,"removed outliers with >3*std_deviations, which gave a dataset of 2600 observations",,,data_channel_is_bus;is_weekend;kw_avg_avg;LDA_03;title_subjectivity;self_reference_avg_sharess;global_subjectivity;num_imgs;LDA_02;kw_avg_min;max_negative_polarity;num_hrefs;num_keywords
